Time,THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Latent Heat Load [W],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Latent Cool Load [W],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load No DOAS [W],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load No DOAS [W],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Latent Heat Load No DOAS [W],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Latent Cool Load No DOAS [W],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Latent Heat Load [W],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Latent Cool Load [W],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load No DOAS [W],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load No DOAS [W],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Latent Heat Load No DOAS [W],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Latent Cool Load No DOAS [W],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,3.871069E+03,4.881774E+02,1.996413E-01,3.769411E-02,1.142867E+03,4.687220E+01,8.999130E-02,3.675453E-03,3.871069E+03,4.881774E+02,1.142867E+03,4.687220E+01,2.098469E+01,4.998813E+01,2.668911E+01,4.973464E+01,2.077133E+03,2.118644E+02,1.071215E-01,1.635979E-02,6.743761E+02,2.045042E+01,5.310155E-02,1.603607E-03,2.077133E+03,2.118644E+02,6.743761E+02,2.045042E+01,2.098439E+01,4.998955E+01,2.668841E+01,4.950520E+01
02:00:00,3.875548E+03,5.457369E+02,1.998791E-01,4.210532E-02,1.143075E+03,7.690521E+01,9.000764E-02,6.030428E-03,3.875548E+03,5.457369E+02,1.143075E+03,7.690521E+01,2.098535E+01,4.999363E+01,2.669911E+01,4.994310E+01,2.079975E+03,2.813543E+02,1.072712E-01,2.170706E-02,6.744713E+02,5.254330E+01,5.310902E-02,4.120118E-03,2.079975E+03,2.813543E+02,6.744713E+02,5.254330E+01,2.098495E+01,4.999435E+01,2.669930E+01,4.992425E+01
03:00:00,3.878005E+03,5.299505E+02,2.000069E-01,4.088703E-02,1.142800E+03,1.064556E+02,8.998603E-02,8.347583E-03,3.878005E+03,5.299505E+02,1.142800E+03,1.064556E+02,2.098545E+01,4.999732E+01,2.669921E+01,4.999320E+01,2.081564E+03,2.803502E+02,1.073537E-01,2.162999E-02,6.743502E+02,6.228131E+01,5.309948E-02,4.883713E-03,2.081564E+03,2.803502E+02,6.743502E+02,6.228131E+01,2.098504E+01,4.999760E+01,2.669906E+01,4.999206E+01
04:00:00,3.879180E+03,4.816212E+02,2.000677E-01,3.715914E-02,1.142720E+03,1.061962E+02,8.997968E-02,8.327246E-03,3.879180E+03,4.816212E+02,1.142720E+03,1.061962E+02,2.098547E+01,4.999894E+01,2.669892E+01,5.000009E+01,2.082331E+03,2.631724E+02,1.073933E-01,2.030497E-02,6.743135E+02,6.253000E+01,5.309659E-02,4.903214E-03,2.082331E+03,2.631724E+02,6.743135E+02,6.253000E+01,2.098506E+01,4.999904E+01,2.669887E+01,4.999966E+01
05:00:00,3.879946E+03,4.263629E+02,2.001073E-01,3.289575E-02,1.142675E+03,1.068313E+02,8.997612E-02,8.377045E-03,3.879946E+03,4.263629E+02,1.142675E+03,1.068313E+02,2.098548E+01,4.999959E+01,2.669892E+01,5.000003E+01,2.082827E+03,2.371806E+02,1.074190E-01,1.829960E-02,6.742934E+02,6.306543E+01,5.309501E-02,4.945200E-03,2.082827E+03,2.371806E+02,6.742934E+02,6.306543E+01,2.098507E+01,4.999962E+01,2.669885E+01,5.000000E+01
06:00:00,3.880558E+03,4.178799E+02,2.001389E-01,3.224124E-02,1.142656E+03,1.069847E+02,8.997464E-02,8.389073E-03,3.880558E+03,4.178799E+02,1.142656E+03,1.069847E+02,2.098548E+01,4.999984E+01,2.669892E+01,5.000000E+01,2.083226E+03,2.203961E+02,1.074395E-01,1.700461E-02,6.742847E+02,6.313454E+01,5.309433E-02,4.950618E-03,2.083226E+03,2.203961E+02,6.742847E+02,6.313454E+01,2.098507E+01,4.999985E+01,2.669885E+01,5.000001E+01
07:00:00,4.060832E+03,3.228543E+03,2.094365E-01,2.936536E-01,1.154321E+03,1.799413E+03,9.089316E-02,1.412243E-01,4.060832E+03,3.228543E+03,1.154321E+03,1.799413E+03,2.098548E+01,4.999994E+01,2.439996E+01,5.051590E+01,2.016965E+03,1.647569E+03,1.040222E-01,1.499952E-01,6.028864E+02,9.165025E+02,4.747230E-02,7.193036E-02,2.016965E+03,1.647569E+03,6.028864E+02,9.165025E+02,2.098507E+01,4.999994E+01,2.439850E+01,5.050535E+01
08:00:00,4.034065E+03,2.291905E+03,2.080567E-01,2.246063E-01,1.154346E+03,2.214055E+02,9.089517E-02,1.739549E-02,4.034065E+03,2.291905E+03,1.154346E+03,2.214055E+02,2.098555E+01,4.999977E+01,2.399774E+01,4.999995E+01,2.001594E+03,1.038147E+03,1.032372E-01,1.017378E-01,6.031846E+02,1.173322E+02,4.749573E-02,9.218611E-03,2.001594E+03,1.038147E+03,6.031846E+02,1.173322E+02,2.098649E+01,4.999561E+01,2.399778E+01,4.999995E+01
09:00:00,4.024153E+03,3.009223E+03,2.075453E-01,2.948983E-01,1.154311E+03,9.320511E+02,9.089242E-02,7.322981E-02,4.024153E+03,3.009223E+03,1.154311E+03,9.320511E+02,2.098553E+01,4.999999E+01,2.399791E+01,4.999947E+01,1.995542E+03,1.265185E+03,1.029260E-01,1.239837E-01,6.029729E+02,4.750114E+02,4.747906E-02,3.732091E-02,1.995542E+03,1.265185E+03,6.029729E+02,4.750114E+02,2.098665E+01,4.999790E+01,2.399807E+01,4.999910E+01
10:00:00,4.019949E+03,3.077714E+03,2.073283E-01,3.017580E-01,1.154316E+03,8.128652E+02,9.089277E-02,6.386579E-02,4.019949E+03,3.077714E+03,1.154316E+03,8.128652E+02,2.098551E+01,5.000005E+01,2.399301E+01,5.001447E+01,1.992801E+03,1.223158E+03,1.027846E-01,1.199254E-01,6.029809E+02,4.144625E+02,4.747969E-02,3.256379E-02,1.992801E+03,1.223158E+03,6.029809E+02,4.144625E+02,2.098667E+01,4.999920E+01,2.399305E+01,5.001473E+01
11:00:00,4.017763E+03,3.219147E+03,2.072154E-01,3.156430E-01,1.154316E+03,7.945148E+02,9.089278E-02,6.242405E-02,4.017763E+03,3.219147E+03,1.154316E+03,7.945148E+02,2.098550E+01,5.000004E+01,2.399244E+01,5.000849E+01,1.991350E+03,1.242573E+03,1.027098E-01,1.218455E-01,6.029663E+02,4.055076E+02,4.747853E-02,3.186025E-02,1.991350E+03,1.242573E+03,6.029663E+02,4.055076E+02,2.098666E+01,4.999972E+01,2.399170E+01,5.001009E+01
12:00:00,4.016718E+03,3.255747E+03,2.071615E-01,3.192317E-01,1.154316E+03,7.933893E+02,9.089277E-02,6.233562E-02,4.016718E+03,3.255747E+03,1.154316E+03,7.933893E+02,2.098550E+01,5.000003E+01,2.399244E+01,5.000408E+01,1.990666E+03,1.269109E+03,1.026745E-01,1.244445E-01,6.029596E+02,4.047630E+02,4.747801E-02,3.180174E-02,1.990666E+03,1.269109E+03,6.029596E+02,4.047630E+02,2.098666E+01,4.999991E+01,2.399195E+01,5.000341E+01
13:00:00,4.016086E+03,3.262841E+03,2.071289E-01,3.199261E-01,1.154316E+03,7.924080E+02,9.089281E-02,6.225852E-02,4.016086E+03,3.262841E+03,1.154316E+03,7.924080E+02,2.098550E+01,5.000002E+01,2.399248E+01,5.000186E+01,1.990258E+03,1.301245E+03,1.026534E-01,1.275932E-01,6.029569E+02,4.043036E+02,4.747779E-02,3.176564E-02,1.990258E+03,1.301245E+03,6.029569E+02,4.043036E+02,2.098666E+01,4.999997E+01,2.399214E+01,5.000087E+01
14:00:00,4.015614E+03,3.353752E+03,2.071045E-01,3.288397E-01,1.154317E+03,7.918187E+02,9.089284E-02,6.221222E-02,4.015614E+03,3.353752E+03,1.154317E+03,7.918187E+02,2.098550E+01,5.000001E+01,2.399249E+01,5.000086E+01,1.989955E+03,1.332832E+03,1.026378E-01,1.306886E-01,6.029560E+02,4.039935E+02,4.747772E-02,3.174127E-02,1.989955E+03,1.332832E+03,6.029560E+02,4.039935E+02,2.098666E+01,4.999999E+01,2.399228E+01,4.999995E+01
15:00:00,4.015267E+03,3.440303E+03,2.070867E-01,3.373262E-01,1.154317E+03,7.917789E+02,9.089287E-02,6.220909E-02,4.015267E+03,3.440303E+03,1.154317E+03,7.917789E+02,2.098550E+01,5.000000E+01,2.399249E+01,5.000043E+01,1.989735E+03,1.353843E+03,1.026265E-01,1.327491E-01,6.029556E+02,4.040060E+02,4.747769E-02,3.174225E-02,1.989735E+03,1.353843E+03,6.029556E+02,4.040060E+02,2.098666E+01,5.000000E+01,2.399226E+01,5.000005E+01
16:00:00,4.015014E+03,3.447271E+03,2.070736E-01,3.380075E-01,1.154317E+03,7.923335E+02,9.089284E-02,6.225267E-02,4.015014E+03,3.447271E+03,1.154317E+03,7.923335E+02,2.098550E+01,5.000000E+01,2.399254E+01,5.000005E+01,1.989577E+03,1.358279E+03,1.026183E-01,1.331851E-01,6.029556E+02,4.043248E+02,4.747770E-02,3.176730E-02,1.989577E+03,1.358279E+03,6.029556E+02,4.043248E+02,2.098666E+01,5.000000E+01,2.399218E+01,5.000025E+01
17:00:00,4.014830E+03,3.386467E+03,2.070641E-01,3.320432E-01,1.154317E+03,7.931100E+02,9.089287E-02,6.231367E-02,4.014830E+03,3.386467E+03,1.154317E+03,7.931100E+02,2.098550E+01,5.000000E+01,2.399262E+01,4.999979E+01,1.989463E+03,1.353853E+03,1.026125E-01,1.327521E-01,6.029554E+02,4.047461E+02,4.747768E-02,3.180041E-02,1.989463E+03,1.353853E+03,6.029554E+02,4.047461E+02,2.098666E+01,5.000000E+01,2.399211E+01,5.000033E+01
18:00:00,4.014694E+03,3.240722E+03,2.070571E-01,3.177511E-01,1.154317E+03,7.941148E+02,9.089287E-02,6.239261E-02,4.014694E+03,3.240722E+03,1.154317E+03,7.941148E+02,2.098550E+01,5.000000E+01,2.399267E+01,4.999973E+01,1.989382E+03,1.345665E+03,1.026083E-01,1.319514E-01,6.029555E+02,4.052971E+02,4.747769E-02,3.184370E-02,1.989382E+03,1.345665E+03,6.029555E+02,4.052971E+02,2.098666E+01,5.000000E+01,2.399194E+01,5.000064E+01
19:00:00,5.742595E+03,2.968474E+03,2.961732E-01,2.910568E-01,2.011301E+03,7.956558E+02,1.583732E-01,6.251368E-02,5.742595E+03,2.968474E+03,2.011301E+03,7.956558E+02,2.098550E+01,5.000000E+01,2.399269E+01,4.999982E+01,3.009058E+03,1.316522E+03,1.552011E-01,1.290933E-01,1.108727E+03,4.060522E+02,8.730297E-02,3.190303E-02,3.009058E+03,1.316522E+03,1.108727E+03,4.060522E+02,2.098666E+01,5.000000E+01,2.399197E+01,5.000018E+01
20:00:00,5.745843E+03,2.706378E+03,2.962226E-01,2.653597E-01,2.007627E+03,7.968191E+02,1.580848E-01,6.260508E-02,5.745843E+03,2.706378E+03,2.007627E+03,7.968191E+02,2.097791E+01,5.002332E+01,2.399264E+01,5.000006E+01,3.010767E+03,1.294369E+03,1.552235E-01,1.269191E-01,1.106714E+03,4.066084E+02,8.714496E-02,3.194673E-02,3.010767E+03,1.294369E+03,1.106714E+03,4.066084E+02,2.097861E+01,5.002474E+01,2.399213E+01,4.999960E+01
21:00:00,5.745889E+03,2.544164E+03,2.962009E-01,2.494583E-01,2.009277E+03,7.978050E+02,1.582149E-01,6.268255E-02,5.745889E+03,2.544164E+03,2.009277E+03,7.978050E+02,2.097636E+01,5.001449E+01,2.399250E+01,5.000046E+01,3.010907E+03,1.270298E+03,1.552182E-01,1.245563E-01,1.107593E+03,4.070704E+02,8.721425E-02,3.198303E-02,3.010907E+03,1.270298E+03,1.107593E+03,4.070704E+02,2.097707E+01,5.001516E+01,2.399233E+01,4.999925E+01
22:00:00,5.746850E+03,2.421412E+03,2.962452E-01,2.374288E-01,2.009405E+03,7.988192E+02,1.582250E-01,6.276225E-02,5.746850E+03,2.421412E+03,2.009405E+03,7.988192E+02,2.097603E+01,5.000708E+01,2.399223E+01,5.000101E+01,3.011539E+03,1.236975E+03,1.552482E-01,1.212883E-01,1.107657E+03,4.075780E+02,8.721931E-02,3.202291E-02,3.011539E+03,1.236975E+03,1.107657E+03,4.075780E+02,2.097675E+01,5.000735E+01,2.399238E+01,4.999954E+01
23:00:00,3.935514E+03,4.836369E+02,2.028716E-01,3.741494E-02,1.184974E+03,1.297224E+03,9.330753E-02,1.018693E-01,3.935514E+03,4.836369E+02,1.184974E+03,1.297224E+03,2.097596E+01,5.000317E+01,2.589428E+01,4.995216E+01,2.106804E+03,2.045431E+02,1.086078E-01,1.582913E-02,6.954249E+02,6.178062E+02,5.475927E-02,4.851461E-02,2.106804E+03,2.045431E+02,6.954249E+02,6.178062E+02,2.097669E+01,5.000328E+01,2.590265E+01,4.991336E+01
24:00:00,3.958298E+03,3.702521E+02,2.041268E-01,2.879453E-02,1.188318E+03,4.331634E+02,9.357029E-02,3.396847E-02,3.958298E+03,3.702521E+02,1.188318E+03,4.331634E+02,2.098348E+01,4.997804E+01,2.639675E+01,5.004796E+01,2.120150E+03,1.317558E+02,1.093341E-01,1.031308E-02,6.969707E+02,2.432632E+02,5.488073E-02,1.907771E-02,2.120150E+03,1.317558E+02,6.969707E+02,2.432632E+02,2.098337E+01,4.998073E+01,2.636034E+01,5.015091E+01
Peak,5.746850E+03,3.447271E+03,2.962452E-01,3.380075E-01,2.011301E+03,1.799413E+03,1.583732E-01,1.412243E-01,5.746850E+03,3.447271E+03,2.011301E+03,1.799413E+03,,,,,3.011539E+03,1.647569E+03,1.552482E-01,1.499952E-01,1.108727E+03,9.165025E+02,8.730297E-02,7.193036E-02,3.011539E+03,1.647569E+03,1.108727E+03,9.165025E+02,,,,

Peak Vol Flow (m3/s),,,2.469026E-01,2.817090E-01,,,1.319946E-01,1.177020E-01,,,,,,,,,,,1.293900E-01,1.250120E-01,,,7.276180E-02,5.994965E-02,,,,,,,,
